date,time (GMT),time (local),COLONY,NEST,Nest position,BIRD,GPS,GPS schedule,GLS Back,Device ring number,TDR,GLS leg,accelerometer OXNAV,Partner on egg/chick,BACK AT COLONY,RETRIEVAL DATE,Retrieval time (GMT),Retrieval time (local),accel off time GMT,accel off time local,GPS tracks,Hatch date,Egg or chick,notes,,,
21/12/2017,,17:24:10 to 17:30:00,C,111,,87K white,FK06,10 sec,none,none,none,BG849,,11P blue,,23/12/2017,,14:48,,,full GPS track,19/12/2017,chick,,,,
21/12/2017,,17:37 to 17:42,C,188B,,33T blue,JE5,10 sec,none,none,none,BB230,,78B brown,,23/12/2017,,15:00,,,full GPS track,16/12/2017,chick,,,,
22/12/2017,,15:23 to 15:35,C,227B,,60G blue,FK01,1 sec,none (removed during deployment),06 RED,A14451,BD257,17670,82B brown,,30/12/2017,,14:50,,,GPS outbound only,17/12/2017,chick,bird was in on 25th but went out before devices retrieved so there will be two tracks for the ACC and TDR,,,
22/12/2017,,15:51 to 15:56,C,219,,74F red,FK05,5 sec,Z649,02 LIGHT BLUE,A14448,BD270,,87T blue,,24/12/2017,,16:11,,,full GPS track,16/12/2017,chick,,,,
23/12/2017,,11:52 to 11:58,C,220,,00G blue,MB10,10 sec,none,none,none,BG850,16691,27V red,,25/12/2017,,13:15,,,full GPS track,23/12/2017,hatched deployment day,,,,
23/12/2017,,13:30 to 13:39,C,221B,,69G blue,JESUS,10 sec,none,none,none,BD255,14140,?,,25/12/2017,,13:33,,,full GPS track some gaps,23/12/2017,hatched deployment day,,,,
23/12/2017,,15:43 to 15:47,C,189B,,81E white,FK07,10 sec,none,none,none,BC709,,17G blue,,24/12/2017,,16:30,,,full GPS track with gaps,18/12/2017,chick,,,,
24/12/2017,,13:39 to 13:44,C,127,,57E white,FK04,5 sec,BB230,01 WHITE,A14445,BD260,,96C red,,26/12/2017,,14:52,,,full GPS track,18/12/2017,chick,,,,
24/12/2017,,14:03 to 14:09,C,118,,09G blue,FK06,5 sec,BG846,03 YELLOW,A14450,BD253,,10T blue,,25/12/2017,,13:37,,,full GPS track,14/12/2017,chick,,,,
24/12/2017,,14:15 to 14:21,C,178,,78F red,JE5,5 sec,BD250,05 GREEN,A14452,BF840,,?,,27/12/2017,,13:11,,,Full track but gap at start,21/12/2017,chick,,,,
24/12/2017,,15:06 to 15:13,C,192,,66F red,FK02,10 sec,none,none,none,BD256,15413,71F red,,26/12/2017,,14:58,,,full GPS track,16/12/2017,chick,,,,
25/12/2017,,11:31 to 11:38,C,218,,75F red,FK03,5 sec,BC709,02 LIGHT BLUE,A14448,BD270,,62T blue,,27/12/2017,,13:24,,,full GPS track,21/12/2017,chick,,,,
25/12/2017,,11:41 to 11:50,C,157,,39T blue,FK05,10 sec,none,none,none,BD271,18188,,,27/12/2017,,14:02,,,full GPS track,16/12/2017,chick,,,,
25/12/2017,,12:55 to 13:03,C,167,,01L yellow,FK07,5 sec,Z649,none,A14447,BD272,,07E white,,27/12/2017,,14:14,,,full GPS track,19/12/2017,chick,,,,
26/12/2017,,13:25 to 13:31,C,187,,59T blue,FK06,1 sec,none,BROWN,A14450,none,14319,26P blue,,29/12/2017,,11:14,,,GPS outbound not reached foraging area,16/12/2017,chick,bird flew at 13:32:55 local time,,,
26/12/2017,,14:16 to14:22,C,188B,,78B brown,FRS11,1 sec,none,WHITE,A14446,none,19116,33T blue,,29/1217,,12:00,,,GPS outbound not reached foraging area,16/12/2017,chick,bird flew at 14:39:50 local time,,,
26/12/2017,,16:01 (end time),C,180,,32L yellow,JE16,10 sec,none,none,none,BF841,14220,70G blue,,28/12/2017,,11:07,,,full GPS track,20/12/2017,chick,no info on when flew,,,
26/12/2017,,16:05 to 16:10,C,166,,65T blue,JESUS,10 sec,none,none,none,BD254,20895,?,,29/12/2017,,17:10,,,full GPS track with one big gap,23/12/2017,chick,bird flew at unknown time then soon after landed on water at 16:16:10.  see tims notes,,,
27/12/2017,,12:14 to 12:22,C,189,,47F red,FK02,1 sec,none,white 01,A14445,BD260,16523,27B brown,,30/12/2017,,15:23,,,GPS outbound not reached foraging area,19/12/2017,chick,,,,
27/12/2017,,13:43 to 13:48,C,176,,14T blue,MB10,10 sec,none,none,none,BD263,15413,?,,30/12/2017,,15:02,,,full GPS track,18/12/2017,chick,,,,
27/12/2017,,13:53 to 13:59,C,174,,26T blue,FK04,10 sec,none,none,none,BD266,14140,?,,29/12/2017,,12:20,,,full GPS track,23/12/2017,chick,,,,
28/12/2017,,11:39 to 11:45,C,140,,53T blue,JE5,5 sec,none,05 GREEN,A14452,BC710,16691,?,,30/12/2017,,15:14,,,full GPS track,15/12/2017,chick,some info on activity following deployment but time flew not known,,,
28/12/2017,,13:16 to 13:23,C,151,,55T blue,FK5,5 sec,none,02 LIGHT BLUE,A14448,BD270,18188,?,,30/12/2017,,15:08,,,full GPS track,24/12/2017,chick,"lots of info on birds activity before it flew, flew at 13:49:01 local time, landed on water at 13:49:43 local time ",,,
29/12/2017,,10:42 to 10:49,C,149,,17B brown,FK3,5 sec,none,04 DARK BLUE,A14447,BG847,14220,43A red,,31/12/2017,,15:46,,,full GPS track,16/12/2017,chick,"lots of info on birds activity before it flew, flew at 11:40:59 local time, landed on water at 11:42:00 local time with lots of wing flapping",,,
29/12/2017,,15:49 to 15:55,C,154,,77C red,FK7,5 sec,none,WHITE,A14446,BD261,14319,60E white,,31/12/2017,,15:51,,,full GPS track,17/12/2017,chick,some info on birds activity after deployment but not time that it flew,,,
29/12/2012,,16:01 to 16:09,C,167,,07E white,JE16,5 sec,none,BROWN,A14450,BG849,19116,01L yellow,,30/12/2017,,14:57,,,full GPS track,19/12/2017,chick,"lots of info on birds activity before it flew, flew at 16:44:45 local time, landed on water at 16:45:24 local time with no wing flaps",,,
23/12/2017,,14:01 to 14:09,C,226,,92F red,JE20,1 min,none,BC695,6 Trace 2),16:59:45,13:59:45,76G blue,,25/12/2017,,12:21,15:24:30,12:24:30,full GPS track smal gaps,16/12/2017,chick,,,,
23/12/2017,,14:34 to 14:40,C,128,,38F red,JE13,1 min,none,BC706,12 (Trace 2),17:33:45,14:33:45,93P blue,,25/12/2017,,13:42,16:47:00,13:47:00,full GPS track,18/12/2017,chick,,,,
24/12/2017,,15:32 to 15:37,C,106,,00L yellow,JE2,1 min,Blue66G ,BF721,2 (Trace 2),18:30:15,15:30:15,?,,27/12/2017,,13:18,16:22:15,13:22:15,full GPS track,,,,,,
25/12/2017,,13:21 to 13:29,C,136,,47A red,JE19,1 min,none,BD264,11 (Trace2),16:23:15,13:23:15,?,,27/12/2017,,13:35,16:37:30,13:37:30,full GPS track,,,,,,
